Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
Fthl17-ps1,X,9043727,9044242
Psma5,3,108256926,108279974
Gm37032,Y,40188895,40191869
Gm14864,X,9046087,9047173
Vmn1r190-ps,13,22144441,22145343
Wrap53,11,69561758,69580255
Gm5739,8,5079294,5080996
Gm11284,13,22163886,22165807
4930562D21Rik,9,79688776,79690907
Gpr150,13,76054851,76056996
Hps1,19,42755105,42779978
Vmn2r-ps60,7,42429828,42430724
Gm9921,12,45437181,45441698
Gm20809,Y,24455057,24457399
Ints4,7,97480956,97541395
Fth-ps2,6,39653450,39653965
Gm15872,1,193187274,193192379
Gm5379,X,9049287,9050112
Tas2r119,15,32177289,32178294
Muc16,9,18495455,18674530
Adck2,6,39573873,39588769
Gm36971,12,47165042,47165507
Ift74,4,94614491,94693229
Iqcg,16,33015385,33056218
Pkp2,16,16213318,16272712
Gm38074,4,144957155,144958848
Vmn1r-ps99,13,22174829,22175594
Serpina1e,12,103946931,103958975
4930518I17Rik,15,32226385,32227040
Kifc5c-ps,10,117594353,117595882
Ido1,8,24584136,24597009
Tcrg-C2,13,19304649,19307551
Cyp2j9,4,96568429,96591578
Vmn1r191,13,22178686,22179582
Olfr1173,2,88273040,88279875
Gm13809,2,99555251,99555878
Gm3931,X,103319111,103319565
Rtn4rl2,2,84871924,84886710
Gm21562,Y,31735963,31736490
BB187690,3,57654404,57655579
Gm17970,1,40353852,40354536
Oxct1,15,4026383,4155344
Gm13808,2,100058933,100059116
Gm27028,1,23291537,23291935
Car3,3,14863512,14872523
Gm37766,2,11227297,11229863
Snhg18,15,32240565,32244662
Rpl35a,16,33056453,33060189
Gm37520,2,11190641,11193312
Gm29107,1,23293729,23294075
Itga9,9,118606690,118901003
Gm13811,2,100336203,100336458
Gm36932,2,11181012,11181940
Golim4,3,75875084,75956949
Vmn1r174,7,23753911,23754852
1700010B08Rik,2,173719415,173722089
Prkcq,2,11172108,11301222
1700028I16Rik,10,82812123,82824242
Vmn1r192,13,22187146,22188048
Cdh10,15,18818947,19014236
B230206L02Rik,11,94133485,94155776
Gm28298,Y,31777538,31779902
Gm4764,X,35801197,35802429
Ndel1,11,68821434,68871858
AV356131,7,116443575,116444324
Gm6117,6,31574967,31576723
Ptchd2,4,148240264,148287965
Gm8356,14,6528612,6537290
Sp3,2,72936427,72980446
Vapb,2,173737511,173784336
Vmn1r193,13,22218861,22219820
Gm14554,X,35804769,35820640
Ppp1r12c,7,4481520,4501680
Gm44443,2,38025795,38031427
Vwa1,4,155768149,155774698
Gm38098,3,52425408,52425648
Gm44291,2,38104432,38107296
Vmn1r194,13,22244215,22245105
Gm16401,5,44100442,44102515
Gmps,3,63976106,64022579
Gm42716,5,44068198,44090854
Gm18555,5,109473396,109473979
Gm8488,5,109527460,109529470
Gm5285,3,155276058,155276723
Gm8493,5,109551892,109554156
Cd163,6,124304656,124330527
Lgalsl,11,20823576,20831056
Sdc2,15,32920723,33034730
Scp2-ps1,3,155514441,155515311
Eid3,10,82866626,82867930
Cyb5r1,1,134405559,134411740
Zscan10,17,23600856,23611019
Gm37449,3,155754971,155755240
Gm14371,2,173793437,173847670
Cyp19a1,9,54165937,54268110
Gm45031,7,116492117,116492404
Gm14336,2,173920352,173920826
Atad3aos,4,155761178,155769264
Prom1,5,43993620,44102032
Atp5k-ps2,2,173984482,173984691
Gm21572,Y,31802210,31802737
Ppp5c,7,17004640,17027924
Vamp7-ps,2,174046619,174047273
Gm13813,2,100407493,100408279
Vmn1r195,13,22278362,22279312
Ighj3,12,113429085,113429132
Rabepk,2,34777556,34799912
Gm28297,Y,31840012,31842290
Nrxn3,12,88722876,90334935
Gm13610,2,32232782,32236382
Brd8,18,34598615,34624601
Olfr1441,19,12417433,12423569
1700025N21Rik,10,83139150,83142038
Gm15632,15,4069226,4072032
Gm17106,16,32985854,33108601
BC037032,15,4020114,4027405
Gm6611,16,32923218,32924489
Chst11,10,82985498,83195900
Lrrc19,4,94636653,94650144
Map7d1,4,126232167,126256343
Gm37872,13,52019774,52021927
Gm42831,5,10249092,10349408
2010109A12Rik,5,93206518,93213475
Msrb2,2,19371440,19394976
Stx16,2,174076308,174099771
Gm37685,3,75952124,75954300
Gm37256,3,75956101,76001136
Tigd5,15,75909735,75914535
Gm17091,5,10537285,10539532
Gm29168,17,86840030,86840716
Gm4959,5,10558353,10559396
RP24-84E18.1,19,12528755,12530540
Ascl5,1,136050804,136051370
Cpm,10,117629500,117687352
Cdx4,X,103321398,103330592
Kalrn,16,33974258,34573532
Pla2r1,2,60417543,60553308
Zfp526,7,25221425,25227507
Slc10a2,8,5083219,5105351
Spaca6,17,17830719,17843009
Gm44122,6,108882004,108882408
Hspe1-ps5,2,72955898,72956194
Tmem38a,8,72572055,72587282
2310040G24Rik,6,86483376,86488227
Sp3os,2,72979424,72988677
Gm28380,1,91611406,91624500
Vmn1r-ps85,7,23778358,23779247
Mmp17,5,129584169,129611099
Gm13849,6,31786675,31922270
Gatsl2,5,134099711,134144343
1700047A11Rik,8,26082609,26096522
Gm13848,6,31658173,31666131
Gm37434,Y,24564331,24567568
Olfr24,9,18751507,18763996
Gm45413,8,26062515,26066052
Gm11416,11,81046794,81048771
Gm45411,8,26023410,26032253
Gm43154,6,31605190,31798053
Asic2,11,80880169,81968457
Khk,5,30921431,30931248
Sec63,10,42761496,42832514
Hook3,8,26021421,26119224
Olfr260-ps1,7,103699576,103700754
Ncan,8,70093085,70120873
Trgj2,13,19311245,19311304
Fbxw2,2,34804514,34826311
Ckap2l,2,129268210,129297212
Phf11d,14,59347407,59365470
Plxnd1,6,115954811,115995005
Gm38292,9,32477333,32480377
Gm27201,9,32508413,32516958
Ankub1,3,57657393,57692799
Gm38346,9,32507745,32510383
Gm13812,2,100460188,100461534
Gm37082,9,32535251,32537177
Emc1,4,139352587,139378730
Gm43293,6,31702245,31706990
Gm7420,5,29217724,29218565
Fli1,9,32422204,32542861
Mzf1,7,13042303,13054764
Gm13810,2,100626697,100628043
Gm21865,Y,40290790,40316903
Rnf32,5,29195992,29228457
Allc,12,28553755,28582523
Gm37980,12,89253452,89255361
Dram1,10,88322804,88379080
Gm14024,2,129246376,129268526
Tmem88b,4,155781591,155785874
Gm9516,X,103336830,103337253
Gm43936,6,86493216,86493909
Gm16274,19,12568235,12568826
Pkn3,2,30077684,30091022
Fam111a,19,12545740,12589768
Gm45208,X,7722245,7730530
Stard6,18,70472454,70501066
Gm14023,2,129297370,129307826
1700084J12Rik,15,33403985,33405976
Ankrd65,4,155790439,155799503
Afp,5,90490737,90508907
Il1a,2,129299610,129309972
Tmub1,5,24445458,24447854
Gm11295,13,22282354,22283548
Praf2,X,7728439,7731064
Gm37474,9,32525145,32526958
Gm29781,6,109125685,109126162
A330040F15Rik,19,12585868,12596566
Tti2,8,31150315,31164702
Il6st,13,112464070,112510086
Slc43a3,2,84936579,84958509
Gm32858,6,109214242,109214826
Gm21753,Y,32124404,32125099
Gm44125,6,109386475,109386922
Gm14039,2,129362759,129362859
Gm21723,Y,32159839,32160366
Gm4605,6,109443601,109444225
Slc27a6,18,58556257,58612773
Gm10251,14,6638420,6684170
Npepl1,2,174110349,174123070
Ing3,6,21949571,21976038
Gm28720,6,86494649,86497804
Gm44161,6,109550371,109550623
Gm42828,5,10668075,10668543
Mrpl20,4,155802878,155809975
Gm3629,14,6583959,6590613
Gm43921,6,4506087,4507878
4933421I07Rik,7,42445462,42448120
Gm44718,7,63765874,63766232
Lfng,5,140607320,140615545
Gm11417,11,81072403,81083358
Gm44162,6,110033389,110033932
Gm3460,14,6613967,6622418
Gm37765,Y,24604271,24604585
Gm7482,7,63810826,63811330
1700071K01Rik,11,81572655,81573473
Gm11789,11,120526855,120531784
3110062G12Rik,1,176745564,176746982
Col1a2,6,4504814,4541544
Gm19039,6,110378054,110378628
4930527B05Rik,11,81385013,81402491
Gm44720,7,63826978,63827237
Gm20417,19,5797562,5798549
Gm36992,1,176754517,176758876
Gm3636,14,6735685,6742332
Gm11418,11,81587361,81593478
Gm37376,19,5801941,5802393
Gm38104,1,176751521,176753415
Wdr45,X,7714333,7728206
Gm26952,X,103381957,103383169
Malat1,19,5795690,5802672
5530401A14Rik,11,81860673,81894582
Nkx1-1,5,33430734,33433976
Il1b,2,129364570,129371139
Chic1,X,103356476,103396092
Trgv2,13,19336573,19337167
Gm6887,7,42464888,42465369
Gm3466,14,6690690,6691881
Mak16,8,31159463,31168764
Tmem247,17,86917348,86922374
Gm8050,14,6712183,6720251
Gm13583,2,60550757,60553923
Gm44173,6,121914969,121915100
Gcgr,11,120530699,120538986
Cep170,1,176733653,176814067
RP23-348B21.1,13,56426594,56433753
Gm3642,14,6832231,6840311
Gm43449,5,90499088,90515931
Gm43139,5,69931525,69931808
Socs4,14,47276931,47296098
Gm28296,Y,32181634,32183997
Gm42652,5,70553608,70554221
Gm3667,14,6868502,6889962
Gm37324,3,155771325,155775828
Gm5605,8,5117361,5118665
Ccng2,5,93267257,93276231
Gm42653,5,70561265,70564103
Zfp707,15,75969123,75975868
Xlr3a,X,73086293,73097095
Gm38229,Y,24640852,24641547
Tob1,11,94211454,94215495
Gm26680,14,6684255,6783942
Gm37102,3,155903348,155904452
Vmn1r196,13,22293193,22294098
Nuggc,14,65598546,65648531
Gm44693,8,5436984,5440990
Gm29101,1,91822515,91823985
Gm37515,3,155904509,155908325
Gm28719,6,86498781,86500537
Twist2,1,91801461,91848028
Gm6426,8,5527689,5528542
Gm16244,19,42779032,42781454
Gm8362,14,6765962,6774411
Vmn1r-ps100,13,22298612,22299478
Gm43908,6,148899167,148900638
9330178D15Rik,3,155976354,156008592
Il1bos,2,129369897,129375748
Gm36866,Y,24701863,24726367
Olfr828,9,18814728,18819526
Sema4f,6,82911885,82939769
Gm21821,Y,32221119,32221647
Gm17780,7,23786616,23787227
Gm42947,3,156040102,156045856
Gm29100,1,91798528,91802937
Spcs2-ps,2,129378271,129379396
Ppp1r16a,15,76671615,76694919
Wfikkn2,11,94235956,94246005
Gm30173,3,52516964,52550219
Gm44576,7,23800874,23801284
Gm7539,1,83015393,83016022
Gm1840,8,5639580,5641011
Slc19a3,1,83012523,83038448
Gm6510,3,156060891,156062063
Gm12037,11,20831481,20831919
Gm44386,6,86513891,86516273
1700007E05Rik,16,31376506,31379133
Mug4-ps,6,121916430,121956147
Gm5228,17,47936090,47936446
Vmn1r175,7,23808286,23809200
Gm43098,3,57696180,57697476
Gm14871,17,48003379,48003572
Gm42886,3,156264586,156265051
Gm7618,6,148900968,148901138
Gm16602,13,19339989,19340454
Gm14040,2,129493570,129515807
Ptov1,7,44863067,44869788
Pigf,17,86997256,87025406
Gm6394,3,57717813,57718289
Gm10293,3,52612835,52613836
Vmn1r176,7,23834812,23835726
F830045P16Rik,2,129458359,129536602
Gm13214,4,132093891,132094298
Grm7,6,110645581,111567230
Gm2734,8,5993981,5994723
Gm37711,4,132104830,132109363
Gm28078,7,37119993,37128692
1700122O11Rik,17,48036745,48038293
Vmn1r177,7,23865520,23866449
Gm44843,8,6034867,6036262
Gm44842,8,6218668,6222039
Gm37600,1,91916260,91919551
Tspan1,4,116161869,116167601
Gm45497,8,88391121,88392228
Slc41a2,10,83230848,83337882
Gm10714,2,174125038,174183918
Gm14041,2,129565047,129566068
Oprd1,4,132110726,132144486
Gm30045,Y,24786618,24789853
Gm2447,3,52739716,52776656
Gm18206,7,23870853,23871778
Gm28076,7,37137011,37140382
Ttyh3,5,140620578,140649031
Gm28075,7,37140541,37141711
Vmn1r178,7,23893529,23894443
Zdhhc12,2,30090944,30093648
Rhoq,17,86963082,87000069
Gm43343,5,66524187,66526112
Rhbdf1,11,32209585,32222300
Gm44844,8,6437744,6438079
Gm43790,5,66321005,66323017
Gm28077,7,37299265,37305225
Thoc5,11,4895320,4928867
Gm16273,5,66356918,66357185
1600020E01Rik,6,86526247,86582466
C530043K16Rik,5,66592462,66595570
Vmn1r179,7,23928386,23929357
Gm43795,5,66531796,66534161
RP23-133A3.4,9,13868706,13869276
Gm17186,14,51679863,51682065
RP23-291B1.2,7,37317899,37321100
Vmn2r-ps3,3,64053031,64055610
RP23-133A3.5,9,13915801,13920119
4930570G19Rik,3,156546753,156561746
Gm20387,6,110639753,110645916
Gm17079,14,51690308,51695448
Rhebl1,15,98877778,98881404
Gm16148,10,3946199,3947091
Gm20386,6,110738350,110738481
Gm6967,19,46674273,46675279
Trgj4,13,19342152,19342212
Gm43851,5,33436625,33437464
Srsf5,12,80945504,80950507
Gm43913,6,148915215,148920535
Gm45314,2,19428046,19430443
Gm13344,2,19429104,19431983
Plekhg1,10,3740364,3967303
Olfr1174-ps,2,88310284,88315135
Gm45000,11,94281873,94283633
Trem1,17,48232768,48246924
Tcrg-C4,13,19344558,19352756
Emc10,7,44489937,44496529
Mt4,8,94137197,94139031
Olfr1175-ps,2,88318194,88327215
Gm15295,X,141724838,141726163
Gm21885,11,94284654,94285983
Irs4,X,141710998,141725263
Gm44909,8,6830814,6830978
Appl1,14,26918988,26971232
Gm7506,8,7001941,7002755
Ighj2,12,113429468,113429567
Mnt,11,74830920,74845725
Gm37112,Y,24819391,24822739
Kif2c,4,117159639,117182639
Sirpa,2,129592835,129632228
Stx1b,7,127803900,127824549
Gm37815,15,20239299,20240650
Mug2,6,122006761,122085965
AW047730,3,88200623,88203481
Gm37113,9,98493968,98495124
Xiap,X,42059679,42109656
2900064F13Rik,5,81826816,81827823
Gm37287,Y,24828596,24829290
Rbp2,9,98486115,98509781
1700008H02Rik,5,82119679,82121362
AI849053,3,88199102,88204595
Gm44911,8,7040157,7041218
4930503L19Rik,18,70452212,70472509
Gm30175,Y,24865431,24866045
Ubr4,4,139352609,139489588
Nucb2,7,116504369,116540584
Cmas,6,142756686,142775714
Gm11961,11,4620275,4630011
Ndufb6,4,40270591,40279421
Gm45204,7,127812154,127813507
Slc2a4,11,69942539,69948188
Aamdc,7,97550331,97579497
Gm44910,8,7132569,7132964
Stx4a,7,127824294,127849019
Gbe1,16,70313949,70569716
Gm5800,14,51711643,51717183
Gm21350,Y,24894925,24895620
Olfr1176,2,88336721,88342048
Gm13553,2,26186729,26191678
Crlf2,5,109554709,109558993
Toporsos,4,40269579,40270940
Pcbp1,6,86524492,86526321
Olfr243,7,103714671,103721166
Gm44702,7,28809304,28810497
Olfr1177-ps,2,88342132,88346492
RP23-128C4.4,10,30603195,30606634
Gm42937,3,101580304,101581055
Gm44184,6,122034504,122034635
Topors,4,40259601,40269850
Atp1a1,3,101576219,101604684
Gm38234,15,21180157,21180577
Olfr829,9,18854933,18859080
6720469O03Rik,7,37365430,37366630
Cdh12,15,21111452,21589533
Hnrnpl,7,28808541,28822266
1700031L13Rik,5,82122408,82124713
Aifm1,X,48474944,48513563
Cd3g,9,44969572,44980431
Olfr628,7,103731843,103733324
Gm43664,5,52917619,52919209
Olfr830,9,18875329,18876276
Gm42834,5,10706909,10707164
Ighj1,12,113429781,113429833
Ccdc34,2,110017817,110173360
2310074N15Rik,5,24447908,24448489
Olfr629,7,103739775,103744943
Slc25a48,13,56438355,56474239
Rnf222,11,68888553,68895777
AA413626,11,4918510,4919003
Phf11c,14,59380833,59395381
Gldn,9,54286486,54341786
B230377A18Rik,5,134176346,134177709
Cdc23,18,34630951,34651735
Vmn1r197,13,22327911,22328807
Wbscr16,5,134148054,134176774
Adi1,12,28675231,28682175
Gm28295,Y,32244058,32246421
Gm10472,5,24449608,24451709
Fnbp1,2,31026206,31142008
Nemp2,1,52630703,52651919
Vmn1r198,13,22354346,22355248
Gm44806,7,37465120,37467422
Olfr832,9,18944650,18945588
Olfr831-ps1,9,18931922,18932981
Gm44908,8,7231234,7231499
Vmn1r199,13,22382538,22383641
Lypla2,4,135968224,135972626
Gldnos,9,54268578,54301570
Gm13215,4,132148413,132148884
Gm21412,Y,24969606,24970301
Prkab2,3,97658193,97673812
Gm21842,Y,32283539,32284066
Gm42941,3,101595810,101597130
Ccdc34os,2,110031250,110050479
Sspo,6,48448229,48501250
Vmn1r-ps102,13,22385649,22386534
Gm28263,1,116633777,116634176
Gm17215,8,7381015,7428569
Lman1,18,65980754,66022580
Tbrg1,9,37648763,37657312
Nr2c2ap,8,70131333,70133749
Gm4707,17,71458327,71460395
Gm37071,Y,25077341,25080578
Gm19965,1,116802983,116823410
Gm6139,5,129622990,129623871
Ythdf2,4,132184912,132212303
Neat1,19,5824708,5845478
Gm17777,1,117392257,117393532
Gm13936,2,110196889,110256131
Gm38220,17,71391838,71393284
Gm13937,2,110209178,110210165
Gm28361,1,117578391,117578864
Gm13206,4,148306853,148316569
Gm44011,6,85062574,85062967
Smchd1,17,71344489,71475343
Exoc6b,6,84618487,85069513
Gm44906,8,7468669,7580205
Zfp11,5,129654593,129670099
Rfxank,8,70130794,70139154
Cap1,4,122859047,122886056
Gm28262,8,7855847,7863406
Gm28170,Y,32305046,32307409
Gm5510,19,6152715,6153200
Olfr1178,2,88387062,88394010
Gm16149,10,3869299,3869607
Batf2,19,6140983,6172476
Gm37547,Y,25112581,25115921
Gm45160,8,7985368,7988466
Gabrg1,5,70751047,70842617
Gm36968,Y,25117327,25117641
Nt5c2,19,46886831,47015153
Vmn1r200,13,22395029,22395967
Gm13200,4,148356379,148359460
Gm15743,16,31427876,31429776
A430057M04Rik,14,21847578,21856926
Gm44649,7,80751822,80758612
0610040J01Rik,5,63812363,63899625
Hdac4,1,91928779,92195699
4930579K19Rik,9,98562229,98563611
Bdh1,16,31422280,31458901
Vmn1r-ps103,13,22441272,22442164
Prg2,2,84980461,84983632
Iqgap1,7,80711583,80825974
Vdac2,14,21831269,21845879
Spa17,9,37603290,37613722
Olfr1179,2,88401859,88406453
Rnf38,4,44126210,44233789
Arl2,19,6134374,6141406
Stard3nl,13,19357676,19395795
Gm27252,7,63896533,63899698
Gm42833,5,10741052,10743175
Bend5,4,111415006,111460298
B230118H07Rik,2,101560781,101649532
Ubiad1,4,148434495,148444771
Fthl17f,X,9063015,9063861
Gm12611,11,60816375,60817747
Klf13,7,63886351,63938915
Gm12129,11,38219069,38220215
Gm20705,6,99384607,99388499
Gm45223,7,90132492,90137629
Gm45221,7,90185927,90188198
Gm12618,11,60818796,60819278
Gm45222,7,90145948,90150254
Zfp141,7,42473386,42505740
RP23-163N19.1,8,95496430,95503718
Olfr630,7,103753480,103757333
Gm21117,Y,51125220,51151484
Gm6455,5,10865029,10870808
E030018B13Rik,7,63916857,63920539
Gm7853,14,36089358,36090816
A130023I24Rik,7,134227474,134230705
Gm29215,Y,40367717,40370075
Olfr1192-ps1,2,88410649,88419151
Sept14,5,129683391,129708512
Siae,9,37555698,37649655
Ogdh,11,6291633,6356642
Fam122c,X,53273424,53331185
Tceal1,X,136707982,136711478
Gm3321,5,10875621,10876749
Gm29433,Y,40367506,40372751
Olfr69,7,103765805,103771594
Gm19514,7,134095790,134100278
Gm12038,11,20847476,20847682
Olfr1400-ps1,12,48903821,48906044
Gm19246,7,42488801,42489055
Zfp813-ps,1,117603878,117606484
Adam12,7,133883199,134232146
Gnas,2,174284320,174346744
Olfr1181,2,88420321,88426171
Gm13840,5,115515263,115515947
Olfr68,7,103774358,103779698
Gm42683,13,19393126,19395453
4930474N05Rik,14,36094917,36100114
Gm12804,4,111290118,111291116
Gm38035,Y,25153876,25154571
Gm12807,4,110512771,110513732
Dhrs7b,11,60830631,60860195
Ina,19,47014698,47025327
Gm12805,4,111319558,111320605
Slc30a8,15,52295553,52335798
Pxn,5,115506676,115555987
Cyp2j5,4,96628773,96664154
Olfr67,7,103787313,103788275
Agbl4,4,110397661,111664324
Gm15297,X,141777180,141777662
Il1rl1,1,40429570,40465415
Gm13757,2,88442814,88449131
Gm7507,6,84812240,84813247
Gm44012,6,84921123,84924996
A630009H07Rik,8,8335077,8342428
C8a,4,104815679,104876398
Gm2448,8,8454871,8455429
RP23-431B6.1,9,13945281,13981814
Gm14585,X,53314533,53315166
Gm31401,8,8066666,8093355
Ighd4-1,12,113430528,113430538
Hbb-bt,7,103812524,103813996
Gm31343,8,8377090,8391702
Gm30292,3,52789004,52797785
Hdac6,X,7930120,7947889
Gm12130,11,38493330,38520013
Gm45076,8,8334081,8336213
Gm37048,1,91975987,91981564
Ighd3-2,12,113448214,113448229
Gm45158,8,8044577,8484730
Gm37036,1,92019592,92022097
Gm12131,11,39727070,39727712
Luc7l,17,26252910,26285504
4930551O13Rik,2,5037280,5041133
Lgals3,14,47367751,47386160
RP23-72D18.1,9,14089620,14118301
Optn,2,5020642,5064051
Ighd5-6,12,113449588,113449599
Gm20857,Y,25214932,25239462
Tubgcp3,8,12614277,12672248
Ighd2-8,12,113450851,113450867
Gm10863,15,79166041,79227524
Gm43358,5,10930423,10946571
1700025D23Rik,11,114091406,114095336
RP23-72D18.2,9,14107054,14108123
Gm20750,3,52906756,52927666
Gm26929,13,68810080,68810832
Gm37007,3,52960048,52960366
1700013D24Rik,6,124347593,124357086
Gm12132,11,40008194,40337831
D10Wsu102e,10,83360221,83488505
Vmn1r85,7,13084289,13087197
RP24-316B2.1,9,14204083,14218183
RP24-316B2.2,9,14249625,14250939
Gm37639,17,71366052,71368836
Gm37122,13,69016622,69018188
1700027F06Rik,6,124363301,124364519
RP24-232I9.2,9,3494379,3497463
RP24-316B2.3,9,14259041,14263803
Gm44006,6,124372162,124374805
Hbb-bs,7,103826534,103828096
Gm10175,7,23946646,23947290
Gm45436,7,13093172,13098674
Vps11,9,44347749,44361670
Aldh1l2,10,83487450,83534140
Gm4270,7,13094992,13095397
Comtd1,14,21845861,21848977
Vmn2r1,3,64081642,64105458
Atp6v1a,16,44085402,44139705
Gnptab,10,88379132,88447329
Wdr4,17,31494323,31519974
RP24-88B13.8,9,32613452,32629557
Gm27163,9,32629125,32629533
Gm27005,16,25726696,25727616
Gm8861,5,10957406,10958237
Adgrb2,4,129984870,130022633
Gm8871,5,10947805,11044948
Hmgn2l6,X,141870135,141870401
Cacna1i,15,80287238,80398279
Zfp813-ps,1,117625522,117628027
Vmn1r180,7,23952387,23953356
Gm38171,2,11315372,11319874
Gm28362,1,117662291,117678373
Treml4,17,48264295,48275360
Rab34,11,78188430,78192193
Gm5324,7,23965140,23965615
Gm8857,5,10947807,10952592
Gm28363,1,117697131,117727441
Gm15294,X,141873409,141875235
Pdyn,2,129686565,129699844
1700001J04Rik,11,114185439,114186777
Trp63,16,25683763,25892102
Gm43492,5,11022260,11038939
Vmn1r181,7,23984065,23985048
Gm28359,1,117741367,117768622
Gm37851,2,11332825,11333713
Gm18182,1,117747031,117751372
Stac3,10,127501686,127508823
Gm17233,14,73173820,73187321
Vmn1r86,7,13101997,13102947
B020011L13Rik,1,117781133,117803359
Vmn2r-ps23,5,109578019,109578589
Lpar6,14,73237895,73243294
RP23-163N19.3,8,95551793,95552302
Ppt1,4,122836242,122859175
Gm12806,4,110510035,110510302
5430403G16Rik,5,109674545,109691041
Ccdc113,8,95534085,95558890
4933403L11Rik,2,11383787,11384907
3110002H16Rik,18,12168717,12189997
8030442B05Rik,2,11338366,11398501
Gm28169,1,117842962,117843306
Gm13291,2,11385003,11387064
Gm28360,1,117830081,117854496
Gm37730,2,11365241,11367451
Gm14046,2,129749901,129750409
4930522L14Rik,5,109735990,109751886
Tsx,X,103414467,103424580
Gm13293,2,11339488,11344111
Gm7195,1,117868522,117899722
Krtap28-10,1,83041524,83042480
Lmbr1l,15,98903921,98918231
Polr2e,10,80035949,80039795
Gucy1a2,9,3532778,3894736
Gm28168,1,117928015,117949988
Gm15298,X,141900582,141902455
Rcbtb2,14,73123037,73207843
Gm8508,5,109757525,109757887
Gm43135,3,101691789,101699632
Ptf1a,2,19445663,19447501
A430073D23Rik,5,109769407,109796298
Rab7b,1,131688695,131715439
Stk35,2,129800517,129832287
Gm45190,11,81983119,82019967
Gm10416,5,109833501,109834145
Gm11419,11,81985406,81988769
Gm26992,X,103422010,103481705
Ptf1aos,2,19441508,19446674
Xist,X,103460375,103483217
Rag1,2,101638282,101649501
Gm26779,5,109886231,109891137
Ccdc33,9,58028677,58118823
Fam53a,5,33600347,33629635
A030005K14Rik,1,83058286,83059378
Ear-ps3,14,51753505,51753949
Ctdsp1,1,74391509,74397285
