Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
SERF1B,CHR_HSCHR5_2_CTG1_1,69709074,69726961
CTD-2311M21.5,15,74379083,74390535
RP11-356M17.1,4,76401251,76401569
RP11-78J21.4,13,52488993,52499305
ADAMTS3,4,72280969,72569386
RP11-318K12.1,9,40755407,40767875
TLR7,X,12867083,12890380
IGHV1-46,CHR_HSCHR14_3_CTG1,106535796,106536537
LINC01829,2,67123357,67215319
VPS52,CHR_HSCHR6_MHC_MANN_CTG1,33404140,33405839
TEC,4,48135783,48269864
FNTB,14,64986720,65062652
LRCH1,13,46553168,46753040
RP11-18A15.1,9,26746953,26786874
PDPN,1,13583465,13617957
CHURC1,14,64914361,64944591
DIO2-AS1,14,80211419,80455469
RP11-322E11.3,18,35483431,35483667
RP11-322E11.6,18,35443871,35497940
RP11-840I19.5,14,65003325,65003767
RP11-322E11.5,18,35443869,35467088
CDHR5,CHR_HSCHR11_1_CTG8,616823,626336
GOLGA8DP,15,22427039,22437902
MRPL39,21,25585656,25607517
PRDX3P3,13,38617419,38617940
RP11-28O3.1,18,67707929,67708246
LINC01225,1,31500085,31509648
CTD-2207P18.1,14,74552181,74560048
PTCD2P2,10,88876450,88877544
OR2B4P,CHR_HSCHR6_MHC_APD_CTG1,29290770,29291712
STARD13-AS,13,33180401,33281584
CFL1P8,13,99582706,99583180
FAM71BP1,9,25937912,25938434
MEX3D,19,1554669,1568058
LTBP2,14,74498170,74612378
IGHVII-44-2,CHR_HSCHR14_3_CTG1,106518815,106519064
IGHVIV-44-1,CHR_HSCHR14_3_CTG1,106514026,106514437
IGHVIII-44,CHR_HSCHR14_3_CTG1,106502901,106503074
IGHV3-43,CHR_HSCHR14_3_CTG1,106494944,106495481
RP11-20A20.2,9,24545952,24591993
CDKN2AIPNLP2,2,26827169,26827520
IGKV1OR10-1,CHR_HSCHR10_1_CTG3,42186432,42186884
AP000705.6,CHR_HSCHR21_2_CTG1_1,22153950,22154299
BRD7P6,2,70353010,70355915
LRRC9,14,59919713,60063559
OR2N1P,CHR_HSCHR6_MHC_APD_CTG1,29137903,29138839
RP11-671E7.1,10,45725694,45726038
LINC00424,13,21872770,21878160
ZNF414,19,8509678,8514164
EGOT,3,4749192,4751590
CCDC121,2,27625639,27629012
A1CF,10,50799409,50885675
MARCH8,CHR_HSCHR10_1_CTG2,45470650,45480390
OR2B3,CHR_HSCHR6_MHC_APD_CTG1,29086337,29087343
OR2W1,CHR_HSCHR6_MHC_APD_CTG1,29044245,29045272
SERF1B,CHR_HSCHR5_1_CTG1_1,70045915,70063796
AC007967.2,Y,8901203,8903276
SPATA31E3P,15,22401208,22406944
RBMY2TP,Y,21430697,21437245
SLC4A1AP,2,27663471,27694976
HSPA1A,CHR_HSCHR6_MHC_APD_CTG1,31882493,31884975
RP11-389J22.3,18,65917782,65920942
RP11-661A12.4,CHR_HSCHR8_3_CTG7,143542110,143542400
ECHDC3,10,11742366,11764070
RP11-375O18.2,9,79505804,79532342
SAMD11,1,923928,944581
CHCHD2P9,9,79391304,79391759
ZNF512,2,27582969,27623215
RP11-603B24.2,15,22258138,22258848
RP11-603B24.6,15,22202392,22202734
MIR155HG,21,25561909,25575168
RPS8P10,15,22152276,22152897
TOMM22P3,13,32954057,32954401
LINC01320,2,34677555,34738231
PRH2,CHR_HSCHR12_2_CTG2,10929236,10932341
RP11-785H5.2,CHR_HSCHR12_2_CTG2,11198038,11203301
TAS2R15P,CHR_HSCHR12_2_CTG2,10964425,10965352
TAS2R19,CHR_HSCHR12_2_CTG2,11021619,11022620
TAS2R46,CHR_HSCHR12_2_CTG2,11061365,11062294
TAS2R30,CHR_HSCHR12_2_CTG2,11164906,11166592
LSM2,CHR_HSCHR6_MHC_APD_CTG1,31864414,31874003
RP11-144O23.8,CHR_HSCHR12_2_CTG2,10831074,10832016
SMIM10L1,CHR_HSCHR12_2_CTG2,11203312,11203513
FAM84A,2,14632686,14650814
TAS2R63P,CHR_HSCHR12_2_CTG2,11048332,11049256
RP11-529E15.1,2,34692290,34703606
AC073218.3,2,34734975,34737118
HSP90AA4P,CHR_HSCHR4_7_CTG12,189472965,189475192
TRIM60P3Y,Y,8413037,8414054
OR13A1,CHR_HSCHR10_1_CTG2,45302654,45315608
LINC01262,CHR_HSCHR4_7_CTG12,189669074,189670954
RP11-555K2.4,21,9913117,9914846
RP11-138I18.2,10,11679675,11680514
RP11-462G22.2,CHR_HSCHR4_7_CTG12,189714467,189715076
IGHV1OR15-1,15,22160431,22160868
AF146191.4,CHR_HSCHR4_7_CTG12,189790922,189906229
ZNF736P10Y,Y,8418791,8419900
LINC01596,CHR_HSCHR4_7_CTG12,189892101,189895454
KRT18P40,CHR_HSCHR19_1_CTG2,20967473,20971556
LINC01194,CHR_HSCHR5_1_CTG1,12686551,12731442
ENHO,9,34521040,34523041
CTD-2542C24.8,CHR_HSCHR19_1_CTG2,20978678,20989626
IGHV1OR15-3,15,22178107,22178542
RP11-296L22.8,9,34521527,34524241
CH17-39B16.2,CHR_HSCHR5_1_CTG1_1,69910279,69916203
CH17-39B16.1,CHR_HSCHR5_1_CTG1_1,69930714,69941207
bP-21201H5.1,21,9975017,10119309
RP11-296L22.7,9,34546524,34546996
bP-21201H5.2,21,10028361,10029855
RP11-17E15.1,Y,8517364,8517748
TM9SF2,13,99501417,99564006
ITPR1,3,4493348,4847840
LINC00412,13,27236282,27236811
RP11-428O18.6,13,27178263,27251288
USP12-AS2,13,27172259,27182998
ATP10A,15,25677273,25865172
NOC2L,1,944204,959309
LINC00279,Y,8638294,8644842
TTTY18,Y,8683370,8683878
MAP1A,15,43510958,43531620
TTTY19,Y,8704472,8705283
RP11-345J18.2,15,25708470,25710869
IGHV4OR15-8,15,22184967,22185402
CH507-216K13.2,21,10122273,10129029
ALOX5,CHR_HSCHR10_1_CTG2,45390239,45462182
KL,13,33016433,33066145
AGAP10P,10,45678692,45700532
PGGT1BP1,10,50726947,50727969
ZNF430,CHR_HSCHR19_1_CTG2,21027036,21043218
IER3,CHR_HSCHR6_MHC_DBB_CTG1,30733457,30734812
PRORY,Y,21382954,21386360
RBM23,14,22893206,22919184
RP11-386M24.8,15,92699040,92724277
MICB,CHR_HSCHR6_MHC_DBB_CTG1,31480101,31493317
HMGN1P38,15,92711808,92712110
ERICH1,CHR_HSCHR8_4_CTG1,731140,738106
DADB-110M10.7,CHR_HSCHR6_MHC_DBB_CTG1,31689075,31700087
NTF6B,19,49038479,49039038
RBM6,3,49940007,50100045
OR11A1,CHR_HSCHR6_MHC_QBL_CTG1,29425381,29456943
LINC01671,21,42599280,42615058
CH17-270A2.1,1,145961388,145964422
IGFLR1,19,35738801,35742453
SH3GL2,9,17579082,17797129
OR2J2,CHR_HSCHR6_MHC_QBL_CTG1,29173300,29174571
ERGIC2,12,29337352,29381189
EXOSC6,16,70246778,70251930
RP11-656A15.1,3,154511535,154539309
MTHFD2L,4,74114174,74303099
RP11-629B11.5,4,74156511,74158373
SAMM50P1,9,17447145,17448543
MINDY3,10,15778170,15860520
TIMM8A,X,101345661,101349196
RP1-40G4P.1,22,26886909,26887548
AC004869.2,7,46477822,46481578
RP11-125M16.1,6,12582915,12585404
ZNF619P1,7,46144937,46145688
TTC4P1,7,45999621,46000778
MPIG6B,CHR_HSCHR6_MHC_MCF_CTG1,31794876,31802992
LDHBP1,13,113276616,113277734
RP11-627G18.1,18,22200619,22205229
RP11-856M7.4,18,10627646,10628846
AC018804.6,2,130202312,130212628
RP11-78A18.2,10,121736303,121739730
TRIO,5,14143702,14532128
RP11-461L13.5,4,152317902,152318364
KCNC3,19,50311937,50333515
POLR3GP1,CHR_HSCHR14_1_CTG1,91603173,91603433
C1QC,1,22643630,22648110
FMO1,1,171248471,171285978
RP11-70P17.1,1,25581478,25590356
LINC01596,4,189881515,189884868
RP11-115A15.4,1,80464301,80464718
LINC01307,1,101323337,101390303
CLEC9A,12,10030677,10066027
FIRRE,X,131691530,131830643
RP11-232D9.2,X,116669810,116680303
RP11-476D10.1,12,40140926,40142876
STOX2,4,183797692,184023526
C6orf106,6,34587288,34696859
CHAF1A,19,4402662,4445018
SPPL2C,CHR_HSCHR17_1_CTG5,46250606,46252843
VAT1L,16,77788530,77980107
RP11-1038A11.1,12,5388589,5406651
AKR1B1P8,X,116043483,116044418
RP11-263F14.3,9,134868236,134868475
LINC01890,2,68832816,68837192
IKBKGP1,X,154639978,154648275
CCDC12,3,46921726,46982010
RP11-466P24.6,5,76285542,76311462
TRBC2,CHR_HSCHR7_2_CTG6,142862134,142863838
SLC35E1P1,13,20607268,20608131
RP5-865E18.2,X,154620096,154620171
RP11-468E2.4,14,24151218,24167402
SLC25A34,1,15736405,15741396
TRIML1,4,188139419,188147743
LY6G6F,6,31706885,31710595
RP11-578F21.2,15,28679405,28682252
CXCR2,2,218125289,218137253
AC010731.6,2,206686517,206687362
ZNF350-AS1,19,51949134,51981367
MRPS35,12,27710773,27756295
TRBJ2-5,CHR_HSCHR7_2_CTG6,142858212,142858259
LINC00557,13,94960041,94961319
CCL2,17,34255218,34257203
RP11-575L7.2,9,83829656,83837861
LINC00954,2,19868860,19885047
AC093818.1,2,172480840,172556596
SRSF1P1,13,69408216,69408735
RP3-368A4.6,X,74209976,74213660
DDX3P2,X,74133004,74133114
BORCS8-MEF2B,19,19145567,19192158
MIB1,18,21704957,21870957
CTB-83J4.3,CHR_HSCHR19_4_CTG3_1,54616083,54616589
OAT,10,124397303,124418976
GAPDHP53,20,24445391,24446314
KIF12,9,114086126,114099291
RP11-86H7.6,1,94585556,94592297
RP11-24I21.1,4,149154295,149278123
RP11-135A1.2,3,194130616,194131201
RP11-342A1.1,4,149147802,149149780
RFX2,19,5993164,6199572
KRT18P51,4,144572238,144572983
TPGS2,18,36777647,36829216
RP11-666O2.2,16,28553709,28554140
AC007098.1,2,62826064,62858438
RP4-609E1.2,1,68043330,68044233
CLHC1,2,55174791,55232563
SUPT16H,14,21351472,21384266
FAM234B,12,13044284,13142521
RP11-374M1.11,9,61858710,61858908
GXYLT1P1,CHR_HSCHR13_1_CTG3,18724415,18724904
HSD17B8,CHR_HSCHR6_MHC_QBL_CTG1,33133453,33135646
CSPG4P3Y,Y,24186509,24191870
DISP3,1,11479166,11537584
RP11-53O19.2,5,44752949,44765744
CYYR1-AS1,21,26393635,26569252
CEBPZOS,2,37196488,37216193
APOBEC1,12,7649400,7665903
OPTN,10,13099449,13138308
AC002486.2,7,20588990,20590085
RP11-1166P10.1,16,31975803,32003728
CC2D1B,1,52345723,52366193
LINC01391,3,138935189,138944020
RP11-257K9.8,6,73209746,73263196
ZFYVE9,1,52142094,52346686
SPATA31A7,9,61190003,61196280
RP11-477G18.2,4,112171215,112171527
RP11-733C7.1,4,138277115,138281784
IGBP1,X,70133449,70166324
RP5-1043L3.1,1,87212669,87264741
USP9YP12,Y,23945927,23952293
RP11-170L3.2,16,31870887,31871124
CST3,20,23626706,23638473
PRKRA,2,178431414,178451512
CTD-2185K10.1,3,59065150,59119509
RP11-323C15.2,20,46901143,46901726
TMEM106B,7,12211241,12243367
HS2ST1,1,86914648,87109998
RP6-191P20.3,X,107939263,107939642
LILRA2,CHR_HSCHR19_4_CTG3_1,54581134,54595774
RP11-148B18.1,1,94247866,94334848
RP11-113A11.3,3,158336430,158336777
CNOT7,8,17224964,17246878
ANKDD1B,5,75611459,75671846
RAD23BLP,21,15694300,15696581
NLGN4Y,Y,14522638,14845650
RP11-811O14.1,2,224703764,224716365
NLGN4Y-AS1,Y,14793642,14804033
TRBVA,CHR_HSCHR7_2_CTG6,142722076,142722530
CHID1,11,867860,915058
FGF14-AS1,13,102367539,102373666
SPATA3,2,230996121,231025055
RP11-479O9.3,7,65764535,65768306
PRAMEF25,CHR_HSCHR1_2_CTG3,13169610,13178799
GAPDHP39,3,138777832,138778810
AF127577.12,21,15067070,15067837
DEDD,1,161120974,161132688
RP11-481G8.2,10,79000484,79003803
LYSMD4,15,99715697,99733561
RP11-344N10.4,10,73065126,73065467
HLA-DPB2,CHR_HSCHR6_MHC_QBL_CTG1,33041494,33057842
POTEH-AS1,22,15699361,15703403
SMC6,2,17663812,17800242
RP11-348P10.2,3,44667412,44669364
ADRA1D,20,4220631,4249074
ZNF229,19,44417519,44448578
RP11-157P23.2,18,47501172,47558383
RP11-812I20.2,6,47562622,47563018
MED15P9,2,130129621,130139417
ZNF112,19,44326555,44367217
ZNF35,3,44648727,44660791
KIAA0825,5,94152966,94618597
MTCO1P3,21,45376191,45376382
RP11-152F13.10,15,82540032,82555932
CPEB1-AS1,15,82647770,82692820
SPZ1,5,80319625,80321842
RP11-79L9.2,3,138643874,138644694
OR12D3,6,29373423,29375291
RP11-90J7.3,10,78179174,78675109
CAMK2N2,3,184259213,184261463
RP11-534I8.1,9,113850687,113851632
IL5RA,3,3066326,3126613
RP11-9G1.3,4,133075311,133149116
AP000266.7,21,32306464,32308737
CARD11,7,2906141,3043945
CTA-215D11.4,1,8057245,8058463
RP11-316K19.3,X,150818753,150819246
DCTN1,2,74361154,74392087
AF064858.11,21,39006648,39011329
ST13P13,10,103215709,103216800
CT47B1,X,120872603,120875929
TDRD3,13,60396457,60573878
RP11-104C4.4,16,33771035,33771248
GOLGA8A,15,34379068,34437466
AP000265.1,21,32259804,32261585
CTB-31O20.3,19,1815249,1815873
FAR2P1,2,129990456,130051131
RPL13AP,CHR_HSCHR6_MHC_MANN_CTG1,29582099,29582616
RPL9P33,19,51621136,51621701
DOK5,20,54475597,54651171
CBX1P5,3,166811009,166811567
AC093166.4,2,111865798,111866405
PGBD4P4,4,130494673,130495285
PSAT1P4,3,166691187,166691712
RP11-643A5.2,15,53947624,53976908
TRBV7-8,CHR_HSCHR7_2_CTG6,142553725,142554208
RPL26P34,13,24704338,24704788
SLC6A6,3,14402576,14489349
BHLHE23,20,63005927,63007035
RPL7AP31,4,56356135,56356932
HLA-DQB1,6,32659467,32668383
HLA-DQB1-AS1,6,32659880,32660729
MID1IP1-AS1,X,38801568,38803883
BARD1,2,214725646,214809711
RP11-346J10.3,5,100388853,100389938
PLXND1,3,129555175,129606818
MID1IP1,X,38801432,38806537
MINOS1P4,4,78379197,78379514
DAXX,CHR_HSCHR6_MHC_SSTO_CTG1,33469139,33469421
RP11-293B20.2,16,33577502,33622547
CD177P1,19,43372742,43379123
TIMM22,CHR_HSCHR17_3_CTG2,997117,1003671
RP11-346J10.2,5,100375700,100381398
RP11-23E10.5,16,33495943,33496093
NAP1L4,CHR_HSCHR11_1_CTG7,2943292,2991260
IST1,16,71845996,71931199
RP11-479J7.2,1,166334884,166335762
RP11-9L18.2,1,166275629,166277597
RP11-1437A8.7,16,33386105,33386349
IQCF3,3,51817604,51830856
LIN28AP2,13,87379472,87380258
RP11-1437A8.5,16,33370473,33372915
UBE2I,16,1308880,1327018
KIR3DL3,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54724448,54736134
IQCF5,3,51873721,51875584
IGFBP4,17,40443461,40457731
LA16c-358B7.4,16,1305547,1309413
LA16c-358B7.3,16,1317891,1322845
RTCA-AS1,1,100264009,100266120
IQCF1,3,51894876,51903335
PFDN4,20,54207847,54228052
GLRXP1,20,37602852,37603185
EEF1A1P15,X,98389512,98390919
TRBV5-7,CHR_HSCHR7_2_CTG6,142541804,142542270
LINC01746,20,37571103,37583935
MTCO1P22,5,100053686,100055045
TRBV7-7,CHR_HSCHR7_2_CTG6,142533342,142533843
OR3A1,17,3291635,3292600
GUSBP5,4,143559472,143649305
RP11-12N13.1,3,166293756,166294353
RPL23AP75,17,40439467,40439917
RP11-64J4.7,17,3309986,3311446
RP13-578N3.3,4,143700257,143865072
ABR,17,1003518,1229021
MTATP6P2,5,100051920,100052597
MTCO3P38,3,166161203,166161968
RP11-9L18.3,1,166147782,166165095
OR11H7,14,20229402,20230341
RP11-96G10.1,CHR_HSCHR5_1_CTG5,162424378,162427345
ALDH3A2,17,19648136,19677598
ELAC2,17,12992391,13018187
FRAS1,4,78057570,78544269
SERBP1P5,4,78180866,78182046
H2AFZP5,10,77953495,77953876
ZMYM4-AS1,1,35358822,35366077
MRS2,6,24402908,24426194
OR11H1,22,15528158,15529139
GABBR1,CHR_HSCHR6_MHC_MANN_CTG1,29555178,29632716
PPIAP32,10,130131770,130132241
RNF224,9,137227271,137229638
UCKL1-AS1,20,63953384,63956985
OR2H5P,CHR_HSCHR6_MHC_MANN_CTG1,29573499,29574426
TMEM183AP1,CHR_HSCHR6_MHC_MANN_CTG1,29577050,29577339
HLA-DPA1,CHR_HSCHR6_MHC_QBL_CTG1,32993608,33009820
ETS2,21,38805307,38824955
CYSRT1,9,137224635,137226311
RPL32P1,CHR_HSCHR6_MHC_QBL_CTG1,33008496,33008905
RP11-57H14.5,10,112831169,112832454
RP11-57H14.3,10,112888735,112906111
RP4-673D20.6,20,1756756,1758940
MTCO2P32,CHR_HSCHR5_3_CTG1,1370543,1370945
RP4-673D20.4,20,1722045,1722537
RP1-196A12.1,CHR_HSCHR16_CTG2,451401,453138
RP11-57H14.4,10,112823490,112827726
AC098784.1,CHR_HSCHR19KIR_G248_A_HAP_CTG3_1,54703952,54704235
CYP4V2,4,186191520,186213456
RP11-48L13.1,9,29636486,29636853
RP5-881L22.6,20,44389624,44391537
MYOCD,17,12665890,12768949
RP11-373A6.1,9,29254075,29254426
RP11-597M12.1,17,12990149,12990610
TRIM31,CHR_HSCHR6_MHC_SSTO_CTG1,30093294,30103494
ZNF101P1,10,28338554,28340942
TRIM31-AS1,CHR_HSCHR6_MHC_SSTO_CTG1,30095634,30105111
ENSAP3,2,214697727,214698059
MDC1,6,30699807,30717889
GABBR1,CHR_HSCHR6_MHC_COX_CTG1,29552212,29629760
ANKRD30B,18,14728272,14852738
HLA-DQB1,CHR_HSCHR6_MHC_MCF_CTG1,32690241,32699289
RPL13AP,CHR_HSCHR6_MHC_COX_CTG1,29579107,29579624
OR13C1P,9,104656754,104657716
DDX6P2,13,86275493,86277262
SUB1P3,16,4562814,4563128
IQSEC3,CHR_HSCHR12_1_CTG1,70780,175481
ABCA17P,16,2339150,2426699
TMEM161B-AS1,5,88268895,88436685
SUGT1P3,13,40882577,40921774
RP11-598F7.5,CHR_HSCHR12_1_CTG1,168679,170336
LINC02060,5,88408982,88439090
GAD1,2,170813213,170861151
NMS,2,100470482,100483280
OR13D2P,9,104590044,104590950
EBF3,10,129835283,129963841
RP11-234G16.4,10,129837505,129837794
MTND4P17,3,166160021,166160370
BNIP3P2,22,15349467,15350043
RP11-15H20.8,19,23222755,23274221
WNT9B,CHR_HSCHR17_2_CTG5,46662121,46715644
OR1A2,17,3197519,3198448
LRRC37A2,CHR_HSCHR17_1_CTG5,45505209,45550562
OR1P1,17,3153889,3154882
COX6CP10,3,33554636,33554859
DRAIC,15,69463026,69571440
AC079776.1,2,129869193,129877553
AC019050.1,2,129496297,129496788
AC068483.1,2,129063846,129071725
LINC01854,2,129242173,129273848
TDH,8,11339637,11368452
LINC01153,10,121178700,121185966
C6orf48,CHR_HSCHR6_MHC_COX_CTG1,31821974,31827129
TRBV6-8,CHR_HSCHR7_2_CTG6,142529032,142529526
CTC-246B18.10,19,39341773,39341945
AC012451.1,2,128580491,128581576
RP11-109A6.5,10,129784983,129806971
RP11-717A5.1,2,85360798,85360925
PTGES2,9,128120693,128128462
RP11-95I16.6,10,120984966,120985596
CD177,19,43353659,43363172
ISCA1P6,2,128518788,128519177
RP11-361M10.4,15,72682266,72682904
CLCA2,1,86424086,86456558
FAM124B,2,224378698,224402085
OR13C8,9,104569168,104570130
OR1E3,17,3116423,3117366
RP11-438B23.2,9,27937617,27944497
PIH1D3,X,107206632,107244243
BPY2,Y,22973819,23005465
RP11-575I8.1,9,27829276,27844481
RP1-146A15.1,X,28942050,28942568
CTAGE12P,9,27608382,27610745
NDUFS5,1,39026318,39034636
RP11-616M22.5,16,1257339,1258074
AKT1,14,104769349,104795751
CIDEB,14,24305096,24311430
RP11-352D3.2,20,4070152,4075165
VSNL1,2,17539126,17657018
RP11-804F13.2,12,38532895,38533050
LTB4R2,14,24305734,24312053
GPR53P,CHR_HSCHR6_MHC_COX_CTG1,29534286,29535369
MRPS18B,CHR_HSCHR6_MHC_QBL_CTG1,30607204,30615890
RP11-305E17.4,1,100249090,100249311
TTTY4,Y,22936455,22973284
RHO,3,129528640,129535169
RPL23AP90,1,100196816,100197051
LINC01015,CHR_HSCHR6_MHC_COX_CTG1,29526002,29530150
ZNF175,19,51571298,51592508
ZNF264,19,57191500,57222846
LTB4R,14,24311450,24318036
RP11-637O19.2,6,10881780,10884349
RP11-392L5.2,4,129133106,129134098
RP11-259P15.1,3,180887677,180888075
CEACAMP4,19,43303171,43304523
RP11-259P15.4,3,180772750,180773914
RHEBP1,10,46634911,46635466
KIR2DL1,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54814475,54828769
RP11-15H20.2,19,23204010,23204556
NOP9,14,24299862,24309124
SPTLC3,20,13008979,13169103
PYM1,12,55901413,55932618
RPL23AP66,12,12338776,12339254
NDOR1,9,137205685,137217009
HERPUD2,7,35632659,35695571
FGF20,8,16992169,17002181
RP11-244O19.1,9,121815674,121819452
RP11-789A21.1,14,85202849,85239474
EEF1A1P20,5,99996547,99997932
RP11-1006G14.3,15,72638821,72640125
CCDC39-AS1,3,180680084,180700449
RP11-688D15.2,14,84998278,84999296
RP11-688D15.1,14,84951274,84951373
AC092301.3,19,45830164,45831108
ZNF792,19,34956354,34964049
NIPBL,5,36876759,37066413
SEC16A,9,136440096,136483759
CTC-360J11.6,19,57151587,57151860
SLC22A18,11,2899721,2925246
RP11-38L15.3,10,46582782,46598145
OCA2,15,27754875,28099358
DUXA,19,57154021,57167443
RP11-777B9.5,4,78008512,78008688
AC093166.1,2,111675026,111675343
RCN3,19,49527618,49546962
CTC-360J11.5,19,57150513,57150978
ZEB2-AS1,2,144518097,144521477
HNRNPA1P56,4,77987860,77988813
RP11-107E5.4,2,144444848,144450450
RP11-643A5.1,15,53837271,53837560
RP5-1074L1.1,1,110286375,110339171
TOP2A,17,40388516,40417950
KIR3DP1,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54831023,54842954
CPHXL,16,75714224,75726442
LINC01858,19,23046958,23061752
LINC01859,19,23015075,23023697
RBM15,1,110338506,110346681
DCAF4,14,72926332,72959703
COX6CP6,3,70751123,70751350
RP11-93O17.2,5,99522311,99525462
DIRC3,2,217284019,217756593
RGL2,CHR_HSCHR6_MHC_MCF_CTG1,33461997,33469667
DIRC3-AS1,2,217282739,217336120
AC010886.2,2,217693895,217696763
RP11-93O17.1,5,99489559,99499367
ANGPTL7,1,11189341,11195981
RPL39P6,1,11232963,11233112
ISG20L2,1,156721891,156728799
CCDC151,19,11420604,11435782
RP11-152F13.8,15,82418651,82434235
LINC01267,3,14348451,14352568
EFCAB8,20,32858923,32961609
SYCP1,1,114854803,114995370
OR13F1,9,104504263,104505222
RP11-745C15.2,7,54759425,54804928
NENFP1,1,46665910,46666375
CDSN,CHR_HSCHR6_MHC_MCF_CTG1,31193614,31198966
RP11-422P22.1,1,18385829,18388514
RP11-149B9.2,X,28571532,28586395
CUL4B,X,120524609,120575794
KCNC4,1,110211343,110283100
AC019109.1,2,224169664,224171537
RP11-1006G14.5,15,72604399,72605008
TRBV5-4,CHR_HSCHR7_2_CTG6,142484618,142485283
LINC02182,16,88194281,88195217
KIAA0430,16,15594386,15643166
RP11-863P13.2,16,88191486,88193667
RP11-98J9.3,11,13844862,13870616
C6orf47,CHR_HSCHR6_MHC_DBB_CTG1,31640476,31642950
DLG4,17,7189890,7219702
AC004221.2,19,1238179,1239522
NACAD,7,45080438,45088914
TUBB6,18,12307669,12344320
UBE2Q2P2,CHR_HSCHR15_5_CTG8,82434179,82499143
RPS27,1,153990759,153992150
RP11-863P13.6,16,88087387,88087932
IFIT1B,10,89378056,89385205
SIRPB3P,20,1665283,1708200
IFIT1,10,89392546,89406486
TRBV12-1,CHR_HSCHR7_2_CTG6,142436931,142437373
TRBV11-1,CHR_HSCHR7_2_CTG6,142429379,142429843
R3HCC1L,10,98134624,98244897
UMODL1,21,42062959,42143453
AFG3L2,18,12328944,12377314
RNF167,17,4940008,4945222
RP11-200K12.2,CHR_HSCHR12_5_CTG2_1,130383653,130384179
HSPA1B,CHR_HSCHR6_MHC_COX_CTG1,31815107,31817630
TMEM14B,6,10747759,10852753
C4orf17,4,99511004,99542303
TRBV9,CHR_HSCHR7_2_CTG6,142413602,142414123
FXR1,3,180868141,180982753
HSPA1L,CHR_HSCHR6_MHC_COX_CTG1,31796990,31802435
DNAJC5,20,63895182,63936031
BNIP3P36,19,22994968,22995847
RP11-616M17.1,15,99337857,99338481
RP11-231I13.2,3,70196894,70312726
VRK1,14,96797304,96931722
AC017079.4,2,128217588,128218072
RBMY2WP,Y,22762851,22769787
UBDP1,CHR_HSCHR6_MHC_COX_CTG1,29461167,29466379
AADACL2,CHR_HSCHR3_1_CTG2_1,151744454,151770036
ZFYVE9P2,2,17284292,17284895
OR2H1,CHR_HSCHR6_MHC_COX_CTG1,29453753,29460899
LINC02066,CHR_HSCHR3_1_CTG2_1,151637174,151657956
LINC01654,1,18065657,18074412
ACTL8,1,17755313,17827063
RP11-25C19.3,10,112671812,112677819
MOK,14,102224500,102305200
AC108039.1,2,61710076,61710978
EIF2B5,3,184135038,184145311
SLCO1B1,12,21131202,21239246
RP13-476E20.1,6,53790875,53794274
GOLGA6L10,CHR_HSCHR15_5_CTG8,82342783,82349497
SLC22A23,6,3268962,3457022
RP11-91A18.4,1,52033391,52044279
CLUL1,18,596988,650334
KLHL31,6,53647901,53665708
OR2W1,6,29044213,29045240
PCAT7,9,94555069,94568127
APOC4,19,44942238,44945496
STRN,2,36843640,36966472
RP11-466A19.6,17,32512869,32519350
RP11-229O3.1,16,64981123,64983227
RP11-288C18.1,2,36839922,36842539
RP11-442P12.2,4,15743196,15743582
AC010890.1,2,133264968,133284762
CTD-2014E2.2,16,31546698,31547237
OR14J1,CHR_HSCHR6_MHC_COX_CTG1,29303399,29304364
IL18RAP,2,102418689,102452565
PSMG4,6,3231403,3303373
REEP1,2,86213993,86338083
RP11-100M12.2,15,27422381,27428338
VN1R74P,18,14680604,14681106
GABRG3-AS1,15,27157615,27161319
ADGRB2,1,31727117,31764893
AC136896.2,15,27208089,27208635
RP11-100M12.3,15,27483035,27541991
RP11-574O16.1,2,216995906,216996490
LINC01455,5,79936579,79967626
FITM2,20,44302838,44311169
MICD,CHR_HSCHR6_MHC_DBB_CTG1,29960749,29962411
LINC01467,14,81605347,81623061
EDNRA,4,147480917,147544954
GTF2F2P1,4,147506091,147506765
RNF144A,2,6917392,7068286
RPL23AP52,7,11006399,11006876
NPIPA5,16,15363624,15381047
AC019048.1,2,7062727,7077880
CTD-2008E3.1,5,31558573,31559875
RP11-341B24.3,10,89139044,89139458
RP11-399O19.9,10,89015836,89017059
RP11-72I8.2,16,15358978,15362674
FAM13A,4,88725955,89111398
OR7D2,19,9185594,9188817
DDX11L8,CHR_HSCHR12_1_CTG1,12310,13501
RP11-439M11.1,2,6905724,6906301
RP11-696N14.3,4,99469598,99498698
MSR1,8,16107878,16567490
WDR20,14,102139503,102224847
ZNF311,6,28994785,29005316
HLA-DOA,CHR_HSCHR6_MHC_QBL_CTG1,32932859,32938293
CTD-2007H13.1,5,98954394,98954972
RP5-1069C8.3,20,12934877,12935783
PDHA1P1,3,57800056,57801448
AHSP,16,31527864,31528803
RP11-97O12.5,15,88477871,88478387
SHISA5,3,48467798,48504826
CH507-9B2.5,21,5130871,5154734
PRMT5P1,4,147458724,147459321
RP4-737E23.2,20,23187961,23190307
RP11-292D4.4,4,147025914,147030072
